run_id,status,final_lat_deg,final_long_deg,final_alt_m,max_mach,max_nz
157,SUCCESS,37.353828908610986,-115.78613939462348,15213.882838580757,2.4038172022543445,0.2918549159063894
158,SUCCESS,37.368619192212826,-115.8057882722801,15182.443138646893,2.413950130827575,0.2094337448298427
159,SUCCESS,37.349868091054425,-115.80758712252565,15102.164424865507,2.3939107895404343,0.2874083224004382
160,SUCCESS,37.35378570277929,-115.80041575184337,15302.29708599206,2.3950322059572247,0.2657164067658947
161,SUCCESS,37.3673732626997,-115.78602180889293,15147.83179754857,2.3982793759105725,0.2094231603856813
153,SUCCESS,37.36687745827699,-115.78765764963481,16052.887536052614,2.400972216611921,0.0849396442811834
162,SUCCESS,37.37109141575216,-115.81206361679251,14942.447189210914,2.4112459006065405,0.2897653981310135
164,SUCCESS,37.35833831858046,-115.79474677928171,14996.34591720812,2.386243595998684,0.19205072280313654
156,SUCCESS,37.35548372042125,-115.80950639126424,16006.582082970068,2.405849179108439,0.13749005362666075
165,SUCCESS,37.35281885022482,-115.79464026082319,15062.570232565515,2.404059483047282,0.3721559762779808
166,SUCCESS,37.35875449556401,-115.80619895332529,15093.053486759774,2.4087093145561815,0.18864756325316506
167,SUCCESS,37.33754729092454,-115.81973392623503,15000.410762498155,2.3870786153402594,0.8264443075318251
169,SUCCESS,37.36315590888582,-115.8090736934428,15063.51206881646,2.406516520074442,0.24722897319137047
163,SUCCESS,37.36443744103927,-115.79552977935215,16538.264230471104,2.3973327771411777,0.08471513026100935
171,SUCCESS,37.35496066536293,-115.80128315873712,15064.06049311813,2.4079571173470526,0.3890232776275961
172,SUCCESS,37.364163179059794,-115.80837769986479,14907.991511002183,2.411560979261801,0.2862221012329679
173,SUCCESS,37.34746300787745,-115.79925304562052,15035.045328072272,2.4027300658107764,0.32725545728048494
168,SUCCESS,37.3453181012574,-115.77640289665258,16559.774878963828,2.40528953932359,0.13503036168514693
174,SUCCESS,37.360971388272155,-115.8116703164247,15165.766517535783,2.4094879197587677,0.27525840024197645
170,SUCCESS,37.36452189430445,-115.78450376918565,16060.679670052603,2.4003412646219755,0.0958824810199094
176,SUCCESS,37.3495124951955,-115.80621395429567,14887.789926466532,2.388064758019537,0.15242397800323226
178,SUCCESS,37.354963322418506,-115.7973792184379,15044.429732044227,2.3944077405976167,0.254925764475727
179,SUCCESS,37.37200376609147,-115.78775211435375,15029.543283640407,2.3993219476352325,0.305936599778971
180,SUCCESS,37.36933864639487,-115.80363732086931,15123.56095290836,2.3911722085087654,0.2945751452586457
181,SUCCESS,37.37006153849705,-115.8045137321517,15116.38609016221,2.38987919688499,0.17534609819533686
182,SUCCESS,37.36074411572151,-115.80229301287024,14935.625543155707,2.4026416280495475,0.4481414614915843
175,SUCCESS,37.361174378249686,-115.8017343707446,16228.552178532816,2.39364913100364,0.08651172647954308
183,SUCCESS,37.34755831907433,-115.80553321666576,15226.22318963334,2.3989409292270576,0.329408880819357
184,SUCCESS,37.340197963531615,-115.79914890790764,14950.62199825421,2.4000938988843856,0.6227973631804137
177,SUCCESS,37.36369351203455,-115.7863138931617,16010.42687447276,2.41495589241652,0.08600967775697324
187,SUCCESS,37.37203735653823,-115.78990635857267,14943.614302553236,2.413678581082121,0.2544878336221528
185,SUCCESS,37.35613558523254,-115.80963083921567,15988.73888593167,2.4004471179473623,0.09150721555087786
186,SUCCESS,37.362163566117744,-115.79594066843102,16381.434398475103,2.4196101102972944,0.08195229362194749
189,SUCCESS,37.35465977264821,-115.80247351811326,14904.11453522183,2.381172542175983,0.30780620701169203
188,SUCCESS,37.365930065570076,-115.80409003665613,16287.906631715596,2.414751444262934,0.0857897843655054
190,SUCCESS,37.341090303543595,-115.80480784323176,16329.196524182335,2.407096914549443,0.11212235657257935
191,SUCCESS,37.36648157815783,-115.79729875296029,16172.94546117168,2.3834904138172273,0.1992719624242116
192,SUCCESS,37.35674453833512,-115.8102902639307,15216.413190765306,2.393182187210829,0.22943846270493348
194,SUCCESS,37.33929311574784,-115.80021595796838,15251.033762826584,2.4146663692482395,0.2676176814101624
